label,class
entire unit located on ground floor,EntireUnitLocatedOnGroundFloor
safety and security,SafetyAndSecurity
non-smoking throughout,Non-SmokingThroughout
safe,Safe
laptop safe,LaptopSafe
safety deposit box,SafetyDepositBox
carbon monoxide detector,CarbonMonoxideDetector
carbon monoxide alarm,CarbonMonoxideDetector
24-hour security,24-HourSecurity
cctv outside property,CctvOutsideProperty
key card access,KeyCardAccess
smoke alarms,SmokeAlarms
smoke alarm,SmokeAlarms
security alarm,SecurityAlarm
fire extinguishers,FireExtinguishers
cctv in common areas,CctvInCommonAreas
key access,KeyAccess
private room can be locked for safety and privacy,KeyAccess
lock on bedroom door,KeyAccess
keypad,Keypad
check yourself into the home with a door code,Keypad
first aid kit,FirstAidKit
lockbox,Lockbox
smart lock,SmartLock
equipment,Equipment
cooking equipment,CookingEquipment
kettle,Kettle
hot water kettle,Kettle
electric kettle,ElectricKettle
kitchenware,Kitchenware
baking sheet,BakingSheet
cooking basics - pots and pans,CookingBasics-PotsAndPans
dishes and silverware,DishesAndSilverware
wine glasses,WineGlasses
tea maker,TeaMaker
home appliance,HomeAppliance
heating system,HeatingSystem
heating,HeatingSystem
portable heater,PortableHeater
mini-bar,Refrigerator
refrigerator,Refrigerator
mini fridge,Refrigerator
bosch refrigerator,Refrigerator
fridge,Refrigerator
iron,Iron
ac,AirConditioning
aircon,AirConditioning
air conditioning,AirConditioning
central air conditioning,AirConditioning
tv,Television
television,Television
tv with standard cable,Television
hdtv,Television
screen tv,Television
satellite tv,SatelliteTv
satellite channels,SatelliteTv
pay-per-view channels,Pay-Per-ViewChannels
netflix,Pay-Per-ViewChannels
amazon prime video,Pay-Per-ViewChannels
cable channels,Pay-Per-ViewChannels
flat-screen tv,Flat-ScreenTv
coffee machine,CoffeeMachine
coffee maker: pour-over coffee,CoffeeMachine
coffee maker: nespresso,CoffeeMachine
coffee maker: keurig coffee machine,CoffeeMachine
coffee maker,CoffeeMachine
lamp,Lamp
phone,Telephone
telephone,Telephone
oven,Oven
stainless steel oven,Oven
freezer,Freezer
microwave,Microwave
microwave-oven,Microwave
dishwasher,Dishwasher
washing machine,WashingMachine
washer – in building,WashingMachine
washer,WashingMachine
free washer – in unit,WashingMachine
free washer – in building,WashingMachine
free washer,WashingMachine
stove,Stove
stovetop,Stovetop
electric stove,ElectricStove
